ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Medium,,,
medium,low,33223.58153,medium,333.7757766,427.1306715,22.46989199,53.12409422,medium,0,medium,,,
high,low,19460.38282,medium,328.0775332,396.8769491,16.47196935,30.38331457,high,0,medium,,,
medium,medium,23029.66361,medium,309.0393204,349.3996325,18.33889255,42.67746528,medium,0,medium,,,
medium,low,37962.16799,high,316.6751618,335.1203984,10.1805138,59.57271371,high,0,high,,,
medium,medium,24468.04839,medium,385.9756505,332.0327063,11.0931634,66.13804475,high,0,medium,,,
high,medium,31903.39981,medium,337.3505291,333.1924699,23.91760126,71.83362396,high,0,medium,,,
low,low,9566.12227,medium,333.7757766,403.9441682,18.66822946,66.91240003,high,0,low,,,
medium,medium,27267.98186,high,333.7757766,504.6382604,16.14079002,77.53618352,high,0,medium,,,
medium,medium,23827.27502,medium,315.6065944,391.1843151,13.28533392,87.39088898,medium,0,medium,,,
high,low,27159.38435,medium,307.3525858,323.8079132,10.09086975,78.47278445,medium,0,medium,,,
medium,low,21470.27831,medium,304.5352242,470.3291685,18.59940992,72.40363387,high,0,medium,,,
high,medium,12652.36298,medium,317.8829005,404.7177992,13.76832331,47.93087188,medium,0,low,,,
medium,low,28608.05208,high,299.8204779,383.79502,16.18206649,75.72943389,medium,0,medium,,,
medium,low,27965.07215,medium,247.200826,605.2201244,9.61134874,66.08417364,medium,0,medium,,,
medium,low,11609.10905,medium,288.0521917,545.9749938,10.94202426,71.72741406,medium,0,low,,,
high,medium,26687.87448,high,339.7519188,527.70891,18.27531211,47.63488493,medium,0,medium,,,
high,low,23873.37821,medium,340.3903784,456.5564021,16.48283537,34.25204908,medium,0,medium,,,
medium,high,21485.1532,high,333.7757766,404.6707773,15.93448387,66.62102655,high,0,medium,,,
high,medium,24627.86756,high,381.6493229,481.3188027,6.016336609,39.09117136,medium,0,medium,,,
low,low,20868.33122,high,324.8930378,405.330482,8.236557503,99.42738492,high,0,medium,,,
medium,low,24405.25053,high,300.0442343,360.9959945,12.82386095,71.7170051,high,0,medium,,,
medium,low,11837.12336,high,333.7757766,290.1809831,16.62225518,59.62205746,high,0,low,,,
low,medium,22989.79639,medium,348.3594482,269.4490512,9.6541256,63.74306384,medium,0,medium,,,
medium,medium,9624.300462,medium,327.6505425,369.3381209,13.75810517,17.91572257,medium,0,low,,,
medium,medium,27776.90105,high,384.9437789,296.3975472,16.92709218,66.39629295,medium,0,medium,,,
high,low,13237.9896,high,333.7757766,398.345418,12.38077079,48.44072487,high,0,low,,,
high,low,12710.24945,medium,333.7757766,416.2396301,11.11965925,78.27505004,high,0,low,,,
medium,medium,36477.73811,high,333.7757766,362.1080043,14.93301266,63.87381995,high,0,medium,,,
medium,medium,20230.12558,high,374.4335045,669.7250862,13.35318143,76.52179975,high,0,medium,,,
medium,low,14100.96899,high,333.7757766,485.9745005,11.35113273,67.86996368,high,0,low,,,
medium,medium,15331.30269,medium,326.9615176,333.329848,16.04514848,49.89840564,medium,0,low,,,
medium,low,27433.58729,medium,349.2692713,501.1827807,17.28771328,50.99300645,medium,0,medium,,,
medium,low,28918.41995,low,277.5990986,428.0363444,9.79962469,90.03537367,medium,0,medium,,,
medium,low,27653.23518,high,297.0781535,504.378681,9.001820488,48.14703125,high,0,medium,,,
medium,low,24913.83717,high,300.131272,556.65371,14.08360835,57.89707471,high,0,medium,,,
high,medium,17087.0769,high,333.7757766,352.9425881,18.70440906,69.90790245,medium,0,low,,,
medium,medium,10909.19459,medium,344.4423937,425.2135748,15.77183437,49.35200148,high,0,low,,,
medium,medium,34971.80748,medium,333.7757766,383.0143102,13.93478804,90.52332986,high,0,medium,,,
low,low,17973.17886,medium,286.5228468,307.379142,9.712231911,79.85092857,medium,0,low,,,
low,low,32170.06916,medium,326.6940179,467.5629729,14.56726886,50.5779791,medium,0,medium,,,
medium,low,35957.79218,medium,314.7995983,477.5813462,16.24550434,57.72972383,medium,0,medium,,,
medium,medium,28149.41179,high,376.9379723,425.9134002,8.992754272,69.50921982,medium,0,medium,,,
low,medium,14775.1456,high,333.7757766,410.3872638,15.6118593,54.29944409,high,0,low,,,
medium,low,27834.2177,high,333.7757766,443.5703721,18.0990781,66.39629295,medium,0,medium,,,
medium,medium,13041.82914,medium,311.4526625,504.1459941,11.53214401,81.10693773,medium,0,low,,,
medium,high,27141.3629,high,383.6571521,514.1189201,12.25679025,82.46979843,medium,0,medium,,,
medium,low,46140.12685,medium,266.9084283,573.4002951,9.833874585,95.02660928,high,0,high,,,
medium,low,25145.02412,high,333.7757766,417.241656,7.507662315,70.54738691,medium,0,medium,,,
medium,medium,21802.7449,high,350.4452927,465.4137746,13.86396488,64.81225738,high,0,medium,,,
high,low,13442.60347,medium,329.178429,430.5077069,15.96604294,59.29227327,medium,0,low,,,
high,high,8471.677381,medium,398.6477857,487.459131,9.347633986,67.91978869,high,0,low,,,
high,medium,23641.70257,medium,377.4045382,506.9383527,13.55375101,42.38148394,medium,0,medium,,,
medium,low,16312.15497,high,329.2803146,575.1146944,11.87098148,69.10983568,high,0,low,,,
medium,low,24909.44401,medium,357.303221,420.7095912,9.226618665,55.29428327,medium,0,medium,,,
medium,medium,17657.08418,high,333.7757766,291.1048366,19.27005426,93.13800948,medium,0,low,,,
high,high,13556.7344,medium,373.5532353,588.3196505,16.14573205,59.12445085,medium,0,low,,,
medium,medium,19991.23915,medium,304.2831932,551.1433372,9.387781276,55.95800559,medium,0,medium,,,
medium,low,21667.86874,high,329.2318529,548.0727613,15.83633021,41.26364788,high,0,medium,,,
medium,medium,22821.25438,medium,341.9872341,333.0507859,10.66179894,90.29777033,high,0,medium,,,
medium,low,17358.79637,high,280.6032867,441.3311375,14.86026268,88.28734556,high,0,low,,,
medium,low,9615.83271,medium,289.7686966,418.4332899,13.64314709,63.73373237,medium,0,low,,,
high,low,14600.53952,high,320.4214322,426.9943932,10.2142746,62.43092616,medium,0,low,,,
low,low,26473.71324,high,297.2067392,349.5189104,13.47852645,54.47483954,medium,0,medium,,,
medium,medium,10280.9295,high,333.7757766,494.1584341,18.14537425,73.71552202,high,0,low,,,
high,low,35216.38597,high,308.3985155,474.2404823,21.84591625,52.37220111,high,0,medium,,,
medium,low,7695.063935,high,329.0397102,590.7487872,17.69511436,103.1504626,medium,0,low,,,
low,low,28862.25717,medium,333.7757766,468.0802666,13.17076321,49.52376998,high,0,medium,,,
high,medium,23783.09956,high,358.847115,435.0008983,17.08424565,62.42163706,medium,0,medium,,,
medium,medium,24112.15347,medium,334.0411862,463.3988471,11.62301916,69.61584964,medium,0,medium,,,
high,high,30989.94841,high,348.4081949,344.3033625,7.935467758,78.10854982,high,0,medium,,,
medium,low,27192.28056,medium,347.9304004,245.859632,14.63688226,73.42463246,medium,0,medium,,,
high,low,29136.81462,low,308.1426389,463.6472774,17.20956506,48.78311166,medium,0,medium,,,
high,medium,37625.75268,high,332.2393595,353.7401,14.17176257,66.39629295,high,0,medium,,,
medium,medium,11067.18115,high,346.4032581,445.3741474,6.063461913,63.12804403,high,0,low,,,
medium,high,13652.2932,high,426.5435898,339.4113267,17.48584425,60.48388466,medium,0,low,,,
low,medium,45222.50667,high,349.1559987,353.9129274,18.20833967,82.38787399,medium,0,high,,,
medium,medium,16462.46009,high,333.7757766,373.0501016,16.82661946,74.08607997,medium,0,low,,,
medium,low,25839.8941,high,357.2267095,263.7719135,13.4452252,67.0555584,high,0,medium,,,
medium,high,18344.68036,high,358.7247021,290.4238384,17.14990713,82.0251158,high,0,low,,,
high,medium,16268.44861,medium,361.9029262,403.0418101,16.13112429,61.11114634,medium,0,low,,,
medium,low,16002.13832,medium,241.6075323,489.8516004,13.3659062,66.39629295,medium,0,low,,,
medium,low,23590.93213,high,333.7757766,442.5457745,14.66691724,66.39629295,high,0,medium,,,
medium,low,15326.85591,high,307.3970883,342.1963466,18.40384583,81.19341217,medium,0,low,,,
medium,low,11215.9459,high,333.7757766,468.9450148,18.60138073,49.56196889,high,0,low,,,
medium,medium,16324.1152,high,369.3100078,274.6605966,9.5785846,72.37690878,high,0,low,,,
medium,high,12975.90033,high,333.7757766,505.7093717,16.23774577,57.03778017,medium,0,low,,,
high,medium,7769.616119,high,369.2642227,432.28527,16.26629669,73.14946432,medium,0,low,,,
high,medium,34440.77343,high,369.5312064,382.9515048,6.580401551,59.57603991,medium,0,medium,,,
medium,high,14962.17783,high,433.9522119,465.2166206,13.22103363,84.19860653,high,0,low,,,
medium,medium,34864.42789,high,362.30018,363.1685384,11.54266178,67.72070438,high,0,medium,,,
high,medium,22244.21824,medium,333.7757766,504.0505391,15.03504691,110.7392993,medium,0,medium,,,
medium,medium,25299.51156,medium,326.6623683,481.7719343,16.53518593,46.20574791,medium,0,medium,,,
medium,low,4304.492483,low,240.9367221,437.9090052,15.26474235,64.2039637,medium,0,low,,,
medium,low,17162.39842,high,320.115497,500.6373262,18.31249854,63.19330599,medium,0,low,,,
medium,low,28487.7086,medium,275.9082279,439.6480512,18.38071193,55.50746847,medium,0,medium,,,
medium,medium,25648.5695,high,399.5831549,473.6624528,11.7283382,23.8170199,medium,0,medium,,,
medium,low,16723.97724,high,379.5277063,360.0604774,20.09841289,41.86595951,high,0,low,,,
medium,low,10704.60318,high,319.3067851,448.2425267,19.37009087,60.93948098,high,0,low,,,
medium,low,19523.12486,high,305.8285533,327.2702387,12.30901596,69.03845387,medium,0,medium,,,
high,low,26307.29845,high,334.4385388,397.0214276,15.93626168,81.3907585,medium,0,medium,,,
high,medium,23220.12061,medium,327.118824,433.3816667,14.13906591,63.54899266,medium,0,medium,,,
high,medium,8580.245561,high,344.1611343,525.5987875,16.142284,66.23143554,high,0,low,,,
high,high,12105.72193,medium,333.7757766,672.5569992,20.18405147,54.96128525,medium,0,low,,,
medium,low,25008.53225,medium,333.7757766,566.339294,11.3188066,66.39629295,medium,0,medium,,,
medium,low,23114.44608,medium,352.7021822,373.4272355,12.60638165,58.75220132,medium,0,medium,,,
medium,medium,17167.3013,high,338.2138034,469.4869612,15.99341035,86.16729829,high,0,low,,,
low,medium,28102.75663,medium,311.598136,386.4133315,18.03523754,53.90817735,medium,0,medium,,,
medium,low,17650.40505,medium,325.9065618,533.7958508,14.68753934,60.48503329,medium,0,low,,,
medium,low,28544.61629,high,333.7757766,490.9097122,17.32294643,71.96926138,high,0,medium,,,
high,high,22833.19204,high,359.2685426,353.1964755,15.04708691,52.64545853,high,0,medium,,,
high,low,15156.78983,medium,333.1483177,417.1670729,16.67018392,89.99757422,high,0,low,,,
medium,low,20418.88993,medium,333.7757766,368.8154286,15.14034849,98.65664588,medium,0,medium,,,
medium,low,27948.58945,high,358.5662821,420.5341718,10.53939227,100.242706,medium,0,medium,,,
medium,low,8532.139517,medium,297.0093194,313.7019343,11.704789,85.68830345,high,0,low,,,
medium,low,37169.4444,medium,290.2898943,254.3932756,9.847655276,73.74971647,high,0,medium,,,
low,low,18536.69865,high,322.062447,587.3950117,12.40136807,62.02818652,high,0,low,,,
medium,medium,13168.52916,medium,333.7757766,434.6554586,8.663293701,67.30404028,medium,0,low,,,
medium,medium,19859.67648,high,340.1060278,356.4591369,9.614106025,61.12264363,medium,0,medium,,,
medium,high,39143.40333,medium,343.6358213,395.3417753,14.90308047,67.12516778,high,0,high,,,
medium,low,20401.10246,medium,308.5648863,399.2713589,11.87679667,61.88663599,medium,0,medium,,,
high,medium,14245.78912,high,384.8553815,477.3433686,13.80171218,66.39629295,medium,0,low,,,
medium,medium,28049.64628,medium,340.2731714,472.2589937,14.39986002,36.57803789,medium,0,medium,,,
medium,medium,27357.45674,high,333.7757766,438.8657751,16.62465362,64.94900818,medium,0,medium,,,
high,medium,15976.92623,high,367.9755579,380.1972,10.85928728,75.85706782,high,0,low,,,
medium,low,26849.19474,high,328.282029,481.1956735,14.27409228,62.71819917,high,0,medium,,,
medium,low,16392.13507,high,277.9517037,415.0087369,16.43584291,50.69392671,high,0,low,,,
medium,medium,25508.38695,high,339.9839346,416.5889058,14.07922835,62.76552953,medium,0,medium,,,
medium,high,19598.86074,high,384.5648525,415.6072778,16.7616247,68.93722695,medium,0,medium,,,
medium,low,29879.06015,medium,333.7757766,515.386742,13.51607813,40.51417236,high,0,medium,,,
high,medium,14866.10386,medium,352.3065857,309.9832868,17.66508338,68.66492348,high,0,low,,,
medium,medium,21728.8213,medium,355.2659229,482.3300548,12.33777643,70.58060723,high,0,medium,,,
high,low,15737.46894,medium,267.6368856,487.9083272,11.94347658,90.61935439,medium,0,low,,,
high,medium,27784.04848,medium,347.0622407,399.4836212,16.06566794,79.95451096,medium,0,medium,,,
medium,medium,22644.76635,medium,333.7757766,332.7375865,9.745282009,77.52994451,medium,0,medium,,,
medium,medium,22475.04687,high,372.6002964,344.7679244,14.44223828,72.69624049,medium,0,medium,,,
high,medium,35804.29261,medium,333.7757766,277.9700697,16.69821637,81.42717402,high,0,medium,,,
medium,low,35344.65805,medium,292.5158245,507.4454883,15.52665845,85.0095059,high,0,medium,,,
low,low,29846.71906,high,298.3794584,434.7812671,17.29929446,63.04250092,high,0,medium,,,
medium,medium,25999.95367,high,340.9836834,579.2203941,13.4863791,62.6502355,medium,0,medium,,,
medium,high,13777.37619,high,368.8210368,251.0208987,12.80458815,48.65189043,medium,0,low,,,
medium,low,20682.73174,medium,297.6555749,484.1229389,11.482687,65.30441362,medium,0,medium,,,
medium,medium,13933.08536,high,348.8681541,341.3885767,9.300117278,79.55361207,high,0,low,,,
medium,high,48621.56395,high,424.7879959,358.7817362,15.05431287,56.83960203,medium,0,high,,,
medium,low,23625.81389,high,345.7516385,475.3413507,12.32123216,52.43761714,high,0,medium,,,
medium,medium,34006.42073,high,380.576472,580.8977004,12.29380305,55.31001941,medium,0,medium,,,
medium,low,26244.03691,high,305.7949503,289.5424601,18.54590296,62.00157128,high,0,medium,,,
medium,low,17862.369,medium,279.7824004,538.4954044,12.03404227,67.90725801,high,0,low,,,
high,medium,6552.626314,medium,319.5764202,259.6368031,15.62561667,66.39629295,medium,0,low,,,
medium,medium,20008.13496,medium,363.0057551,435.5004571,11.38593727,80.67031136,medium,0,medium,,,
high,high,15618.17025,high,333.7757766,512.2773101,16.91214158,72.46576277,medium,0,low,,,
medium,low,25840.57889,medium,299.6446114,272.4405583,13.79526446,87.82258511,high,0,medium,,,
medium,low,29483.60185,high,312.2470431,327.2480786,19.40914656,85.78510284,high,0,medium,,,
medium,low,11557.03204,high,338.2295973,371.216973,9.039042454,76.28807631,high,0,low,,,
medium,high,16953.89874,medium,333.7757766,387.6295723,16.57598077,51.83094808,medium,0,low,,,
medium,low,15300.83867,medium,316.9186485,419.2584481,16.02424609,64.67891377,high,0,low,,,
high,low,16266.43445,medium,271.6705616,499.8441671,13.0768589,82.8375829,high,0,low,,,
low,medium,36043.70664,high,351.5554822,427.4959312,20.39378167,38.6049369,medium,0,medium,,,
medium,medium,44069.27216,high,333.7757766,336.8314548,17.74599613,71.70430486,medium,0,high,,,
high,medium,33991.65157,low,297.0841735,424.2928308,19.18844138,70.0705141,medium,0,medium,,,
medium,medium,23318.18798,high,333.7757766,469.4130904,13.28155615,76.9927158,high,0,medium,,,
medium,medium,39227.61946,high,333.7757766,306.872526,13.97480047,87.27337543,medium,0,high,,,
low,low,26618.05964,medium,261.4447977,445.2414569,18.57592068,86.43365536,high,0,medium,,,
medium,medium,32704.56929,medium,315.1861206,327.786642,13.32598708,39.55424883,high,0,medium,,,
medium,medium,11245.73577,medium,333.7757766,448.8460364,8.816486899,66.39629295,high,0,low,,,
high,low,38852.02964,medium,315.9011216,493.4654399,12.98710649,87.02941032,medium,0,high,,,
medium,low,21153.32283,high,333.7757766,395.2610634,13.24613956,58.92772621,medium,0,medium,,,
high,low,29957.19122,high,333.7757766,316.5358711,11.76830935,25.52526693,high,0,medium,,,
high,low,22989.35118,medium,333.7757766,399.4773578,15.36588356,83.92316815,medium,0,medium,,,
medium,low,18189.39498,high,258.3128794,407.7322172,16.42004096,63.01601758,high,0,low,,,
medium,high,15978.35525,medium,390.1042229,425.627814,13.74926131,56.63581132,medium,0,low,,,
high,medium,25510.0973,high,336.9729496,517.5128415,18.85851888,65.36345158,high,0,medium,,,
medium,medium,21082.85204,high,385.5056354,324.5098409,12.6965448,97.11286019,high,0,medium,,,
medium,medium,19116.01208,medium,352.563987,465.6164808,14.83810023,77.82273707,high,0,medium,,,
medium,medium,12837.50606,medium,335.8458627,382.197839,9.500295529,86.9901344,medium,0,low,,,
medium,low,15244.84639,medium,300.5006892,497.7903905,15.01303033,61.11551322,high,0,low,,,
medium,low,38787.46271,medium,333.7757766,363.5063443,10.7401459,49.5743083,medium,0,high,,,
low,medium,19672.48721,high,333.7757766,288.3651931,13.30669203,35.82455649,medium,0,medium,,,
medium,low,18203.73003,medium,333.7757766,358.8887676,12.20710849,71.11989017,medium,0,low,,,
medium,low,21366.2836,low,259.3733218,400.9043497,12.99301224,63.90228825,medium,0,medium,,,
medium,medium,15797.0304,high,333.7757766,543.3917436,17.91652637,84.57886851,high,0,low,,,
medium,high,32033.33202,high,397.4319622,514.421722,14.5297793,60.55969904,medium,0,medium,,,
high,medium,18088.35485,medium,351.9607232,474.772519,14.68397047,52.57886002,high,0,low,,,
medium,low,9025.07936,high,313.7765458,462.4024491,13.93214538,53.18591655,high,0,low,,,
medium,low,11965.39651,high,295.2368921,374.7703158,14.03826326,74.2992498,medium,0,low,,,
medium,low,25259.78055,high,282.5398923,595.3292635,18.75613937,63.04277916,medium,0,medium,,,
high,medium,30914.11158,medium,351.5974227,405.9001841,13.55036657,59.46266898,high,0,medium,,,
high,medium,12088.41645,high,330.3615123,366.4917287,15.68940449,55.69739952,high,0,low,,,
medium,high,17941.81126,high,380.2014982,513.8775793,18.27241832,61.42518695,high,0,low,,,
high,high,21979.03167,medium,383.9625918,588.8527329,13.579996,86.19163513,high,0,medium,,,
medium,low,11465.57564,medium,234.8526993,434.7477154,23.39951606,94.1603073,medium,0,low,,,
medium,low,28174.62052,medium,296.2388769,469.8356255,15.83176344,61.8020951,medium,0,medium,,,
medium,low,29534.69029,medium,333.7757766,415.2117346,11.50450612,92.97576168,medium,0,medium,,,
medium,medium,28334.49194,high,333.7757766,523.6001756,20.23252348,66.39629295,medium,0,medium,,,
low,low,17350.05853,medium,298.576676,429.544773,17.72972404,56.34768853,medium,0,low,,,
medium,low,36278.71831,medium,323.1557769,470.0787053,16.08284748,65.99571677,high,0,medium,,,
medium,medium,29983.11601,medium,311.7262883,410.2432475,15.91450007,65.02122897,medium,0,medium,,,
low,medium,18894.85239,medium,330.0235306,291.1484489,17.47063098,75.10180148,medium,0,low,,,
low,medium,45249.44903,high,350.4879387,414.030709,10.99941608,47.40266587,high,0,high,,,
medium,low,20438.22469,high,333.7757766,428.5532485,16.02250323,64.8727034,high,0,medium,,,
medium,low,29189.13672,high,333.7757766,439.624998,9.348252155,83.1632417,medium,0,medium,,,
medium,medium,25151.41157,medium,339.0238982,522.79373,17.11527603,65.31127723,medium,0,medium,,,
low,high,26124.93141,medium,378.5603036,411.2950246,16.58457144,66.72840154,medium,0,medium,,,
high,high,13623.16006,medium,333.3344693,503.1706154,11.28641004,99.01600307,high,0,low,,,
medium,low,20143.06526,high,325.2288808,351.1860809,16.80039961,68.48548029,high,0,medium,,,
high,low,13979.16572,high,333.7757766,469.7613277,14.21576467,66.07797804,high,0,low,,,
high,medium,31429.37903,medium,355.4730347,347.9830783,16.34071505,32.10829248,medium,0,medium,,,
medium,medium,15902.94528,medium,286.4892804,491.7653132,10.54688624,74.502808,high,0,low,,,
medium,medium,24283.65879,high,333.7757766,409.2207765,10.21377929,18.40001219,medium,0,medium,,,
low,low,16911.20377,medium,333.7757766,370.1781664,9.182833652,93.90048587,medium,0,low,,,
high,medium,25653.69023,medium,332.0026304,425.2268617,10.84773685,66.39629295,medium,0,medium,,,
medium,high,37356.7464,high,416.0834805,351.4768394,15.12933449,79.2610265,high,0,medium,,,
medium,medium,15417.93283,high,342.5480142,385.1146477,13.88883433,79.30243573,high,0,low,,,
high,low,13839.71343,high,310.5833739,592.659021,8.606396747,77.57745951,medium,1,low,,,
high,low,19663.46943,high,300.150377,451.143481,14.77086294,73.77802565,medium,1,medium,,,
medium,low,20834.29428,high,333.7757766,475.5735624,12.92410682,50.86191298,medium,1,medium,,,
medium,medium,10389.54254,high,187.1707144,376.4565931,11.43246635,73.77727503,medium,1,low,,,
medium,medium,25740.41259,high,287.0856791,315.5499,14.53351004,74.40561603,medium,1,medium,,,
medium,medium,28827.36019,medium,373.1653628,416.6241889,10.46423858,85.85276861,medium,1,medium,,,
high,medium,36438.31088,high,297.8130845,358.7258688,18.70927337,60.91142039,high,1,medium,,,
medium,medium,26831.61041,medium,333.7757766,277.3845373,11.36686342,66.62394365,high,1,medium,,,
high,low,17925.35212,high,323.1990765,512.4287308,14.16893351,59.45443977,medium,1,low,,,
medium,medium,26736.08557,high,308.4826954,417.8435527,13.1472795,62.50564153,medium,1,medium,,,
low,high,31414.52581,medium,374.2329606,297.61154,15.57157096,70.56027461,medium,1,medium,,,
low,medium,19666.99279,high,278.7422964,481.4808283,15.5172963,77.6933736,high,1,medium,,,
medium,high,22229.23009,medium,366.871502,497.3217528,16.56316651,79.3236784,medium,1,medium,,,
high,low,18340.04681,high,375.1473148,500.2459518,12.08389565,66.39629295,high,1,low,,,
medium,medium,21230.43141,medium,432.556385,401.6697906,11.76614643,73.19192051,high,1,medium,,,
medium,medium,23920.25478,medium,360.668259,359.5690815,14.82874304,83.85633634,medium,1,medium,,,
medium,medium,19384.03743,high,323.1092851,388.7165795,17.78000011,83.50540623,medium,1,medium,,,
medium,medium,40879.78957,medium,333.7757766,346.5532064,11.36870244,43.19518163,low,1,high,,,
medium,high,19947.92418,high,279.7768565,539.4668769,12.99414,56.40970792,high,1,medium,,,
high,low,14673.67067,high,343.233977,463.389256,17.85447002,83.17518934,medium,1,low,,,
medium,low,18308.50267,high,247.3354119,439.6493286,17.28504169,59.55632952,high,1,low,,,
medium,low,31101.68428,high,293.3098537,373.3456926,17.41168255,56.79928677,high,1,medium,,,
medium,medium,15489.32566,high,192.0335917,479.5012786,9.983462392,66.66857615,high,1,low,,,
medium,low,23432.96269,high,320.1021726,468.5628288,16.16409127,71.14666068,medium,1,medium,,,
medium,low,25396.01178,medium,352.3534309,629.2812475,13.50768846,42.34016996,medium,1,medium,,,
medium,high,27554.34526,high,180.2067464,392.4214958,10.50481955,55.08466785,high,1,medium,,,
medium,low,29072.16965,medium,350.401849,353.0303803,18.95953438,30.38909611,medium,1,medium,,,
medium,medium,39960.29895,medium,333.7757766,360.1791773,12.24734356,67.15475113,high,1,high,,,
high,low,12224.6246,high,318.4272408,392.7040818,12.71635014,52.24697244,high,1,low,,,
medium,high,21910.76357,high,328.6806496,563.4347751,16.46083688,73.51665351,high,1,medium,,,
high,low,26703.85347,high,291.9800835,427.1239484,11.85322809,78.71146943,medium,1,medium,,,
high,low,22888.78806,high,243.4859418,391.0688736,13.74705768,61.05821029,high,1,medium,,,
medium,low,20868.62798,medium,333.7757766,374.4853324,19.93748613,66.39629295,high,1,medium,,,
high,low,12677.8415,high,327.922751,365.7202915,17.97556384,77.35985434,high,1,low,,,
medium,low,26177.78951,high,259.9799662,327.623881,16.11711046,107.7540426,high,1,medium,,,
low,medium,8896.195118,low,333.7757766,341.2911163,12.99059199,60.10996798,medium,1,low,,,
medium,medium,20988.42941,high,333.7757766,372.5352428,17.89572372,77.45788496,medium,1,medium,,,
high,low,21144.97526,high,333.7757766,574.5550413,16.96330978,36.7676707,high,1,medium,,,
medium,low,22372.30327,high,274.9043512,477.1639068,14.36963009,78.17306259,high,1,medium,,,
medium,low,14859.05966,high,255.0431936,495.9669861,13.63397438,65.60484125,high,1,low,,,
low,high,14462.67431,medium,377.2411613,608.8468563,10.80631311,83.70223599,medium,1,low,,,
