Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
349,56,2,3,2,59,40,2,1,1,2.7,2,3,2,2,17,5,4
350,37,2,9,1,87,3,2,9,4,3.7,2,1,2,2,3,1,2
351,42,2,24,2,68,17,2,23,2,2.6,2,1,2,2,47,1,4
352,28,2,20,2,90,32,2,21,4,3.9,2,5,2,2,24,4,2
353,27,2,12,2,71,43,4,25,1,4.9,2,4,2,2,12,2,3
354,63,2,21,3,64,25,1,25,1,4.1,2,6,2,2,35,4,5
355,58,2,13,1,76,38,3,14,1,3.0,2,3,2,2,42,6,7
356,37,2,13,1,42,37,4,12,1,4.1,2,1,2,2,1,5,3
357,56,2,14,2,80,28,1,2,2,3.8,2,5,2,2,27,2,7
358,18,2,2,1,56,4,2,14,2,4.0,2,5,2,2,16,3,2
359,48,2,9,1,25,23,4,12,3,3.6,2,2,2,2,36,3,3
360,31,2,21,3,74,10,2,14,4,3.0,2,6,2,2,30,3,3
361,51,2,14,2,30,39,2,21,3,3.0,2,5,2,2,18,4,4
362,65,2,25,2,96,28,2,24,2,2.6,2,3,2,2,45,2,1
